Town,WQI,WQI_Class
Kpansia 2,32.29067134345213,Excellent
Amarata 2,34.918134029464866,Excellent
Ogbogoro 2,36.24514060073847,Excellent
Ogu 1,36.24514060073847,Excellent
Gbarantoru 4,39.43029759622886,Excellent
Gbarantoru 1,40.88046829146886,Excellent
Tombia 3,41.130265748397115,Excellent
Kpansia 1,42.487722853099164,Excellent
Yenagwe1,42.74673672558154,Excellent
Kpansia 1,44.33773246484053,Excellent
Okolobiri 4,45.81035957756629,Excellent
Amarata 1,48.61920117235385,Excellent
