FID,Lat,long,Town,pH,EC,TDS,NO3,Cl,SO4,TA,TH,Ca,Mg,Na,K,Iron,WQI
23,4.933825,6.307698,Kpansia 2,5.86,348,174,0.127,14,1.38,12,26,9.5,2.64,4.86,1.36,0.11,32.29067134345213
24,4.916093,6.301615,Yenizue Epie 2,6.4,422,211,0.318,90,10.8,22,148,56.88,12.76,28.64,7.34,0.44,138.10536233014616
25,4.935199,6.285502,Amarata 2,6.74,194,97,0.187,22,0.28,10,47,12.69,4.2,6.38,2.42,0.112,34.918134029464866
26,4.923142,6.272686,Swail 2,6.46,486,243,0.172,19,1.64,17,116,11.28,3.54,5.38,1.34,0.35,109.43368225718976
27,4.905837,6.258554,Akaba 2,5.99,77,38,0.213,40,4.0,14,111,23.86,5.72,12.58,2.55,0.4,124.26708793025313
28,4.918221,6.25624,Ogbogoro 2,6.2,160,80,0.162,24,0.8,12,56,14.56,3.8,6.0,2.26,0.12,36.24514060073847
29,4.899849,6.269169,Ogu 2,6.28,172,86,0.348,52,5.25,4,41,29.78,6.88,16.7,4.4,0.43,134.44202663798933
30,4.983667,6.276111,Akaibiri 1,6.14,285,142,0.218,14,2.48,17,17,10.35,2.87,5.48,1.72,0.31,96.07152169003201
31,4.987861,6.275722,Akaibiri 1,6.59,355,178,0.231,20,3.5,18,34,14.36,3.54,7.6,1.3,0.364,114.1595064672625
32,5.000389,6.279556,Gbarantoru 1,6.01,420,210,0.31,20,4.0,20,52,13.3,4.2,6.5,2.6,0.136,40.88046829146886
33,4.999861,6.280667,Gbarantoru 2,5.97,583,292,0.318,34,4.8,18,48,22.18,5.68,9.45,2.8,0.32,98.96394199337301
34,4.999656,6.279361,Gbarantoru 3,5.96,363,182,0.22,20,3.85,12,36,14.7,2.53,6.84,1.76,0.36,111.4823102725834
35,4.999222,6.2785,Gbarantoru 4,5.92,364,182,0.23,30,3.64,17,30,13.82,4.86,8.35,2.18,0.132,39.43029759622886
36,5.004056,6.294028,Gbarantoru 5,6.15,310,155,0.197,12,3.0,18,26,17.48,2.25,5.42,3.2,0.38,118.22487553955767
